qri_update_time,collected_at,contract,option_type,strike,previous_open_interest,current_open_interest,open_interest_diff,previous_volume,current_volume,volume_diff,previous_last_price,current_last_price,last_price_diff,previous_iv,current_iv,iv_diff,previous_ask_price,current_ask_price,previous_bid_price,current_bid_price,previous_ask_quantity,current_ask_quantity,ask_quantity_diff,previous_bid_quantity,current_bid_quantity,bid_quantity_diff,execution_side,estimated_trade_value,judgement,judgement_score,alert_type
2026/09/07 23:58,2026-09-08T00:13:21+09:00,2026-09,CALL,77000,0.0,877.0,877.0,1.0,1.0,0.0,1.0,1.0,0.0,46.82,46.82,0.0,1.0,1.0,0.0,0.0,169.0,120.0,-49.0,0.0,0.0,0.0,判定困難,0,判定困難,0,OI_INCREASE
2026/09/07 23:58,2026-09-08T00:13:21+09:00,2026-09,PUT,77000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,判定困難,0,判定困難,0,
2026/09/07 23:58,2026-09-08T00:13:21+09:00,2026-09,CALL,76500,0.0,79.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,94.0,44.0,-50.0,0.0,0.0,0.0,判定困難,0,判定困難,0,
2026/09/07 23:58,2026-09-08T00:13:21+09:00,2026-09,PUT,76500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,判定困難,0,判定困難,0,
2026/09/07 23:58,2026-09-08T00:13:21+09:00,2026-09,CALL,76000,0.0,733.0,733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,84.0,76.0,-8.0,0.0,0.0,0.0,判定困難,0,判定困難,0,OI_INCREASE
2026/09/07 23:58,2026-09-08T00:13:21+09:00,2026-09,PUT,76000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,判定困難,0,判定困難,0,
2026/09/07 23:58,2026-09-08T00:13:21+09:00,2026-09,CALL,75500,0.0,268.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,107.0,57.0,-50.0,0.0,0.0,0.0,判定困難,0,判定困難,0,OI_INCREASE
2026/09/07 23:58,2026-09-08T00:13:21+09:00,2026-09,PUT,75500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,判定困難,0,判定困難,0,
2026/09/07 23:58,2026-09-08T00:13:21+09:00,2026-09,CALL,75375,0.0,6.0,6.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,42.18,42.18,10.0,1.0,0.0,0.0,14.0,5.0,-9.0,0.0,0.0,0.0,判定困難,1000.0,新規ポジション形成の可能性あり（買い・売り方向は判定困難）,40,"IV,POSITION"
2026/09/07 23:58,2026-09-08T00:13:21+09:00,2026-09,PUT,75375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,判定困難,0,判定困難,0,
